model,img_size,aug_light,noaug,delta_aug_light_minus_noaug
densenet121,32,0.675,0.725,-0.04999999999999993
densenet121,40,0.6916666666666667,0.75,-0.05833333333333335
densenet121,48,0.7333333333333333,0.7333333333333333,0.0
densenet121,56,0.7416666666666667,0.7333333333333333,0.008333333333333415
densenet121,64,0.7083333333333334,0.75,-0.04166666666666663
densenet121,80,0.8083333333333333,0.75,0.05833333333333335
densenet121,96,0.8416666666666667,0.825,0.01666666666666672
densenet121,112,0.7916666666666666,0.8333333333333334,-0.04166666666666674
densenet121,128,0.7916666666666666,0.825,-0.033333333333333326
densenet121,160,0.825,0.85,-0.025000000000000022
densenet121,192,0.8666666666666667,0.8333333333333334,0.033333333333333326
densenet121,224,0.85,0.85,0.0
densenet121,256,0.8333333333333334,0.8,0.033333333333333326
densenet121,299,0.8666666666666667,0.9,-0.033333333333333326
efficientnet_b0,32,0.6333333333333333,0.65,-0.01666666666666672
efficientnet_b0,40,0.6916666666666667,0.7416666666666667,-0.050000000000000044
efficientnet_b0,48,0.7416666666666667,0.725,0.01666666666666672
efficientnet_b0,56,0.7166666666666667,0.7583333333333333,-0.04166666666666663
efficientnet_b0,64,0.775,0.75,0.025000000000000022
efficientnet_b0,80,0.7916666666666666,0.8,-0.008333333333333415
efficientnet_b0,96,0.7916666666666666,0.75,0.04166666666666663
efficientnet_b0,112,0.7916666666666666,0.7916666666666666,0.0
efficientnet_b0,128,0.825,0.8,0.02499999999999991
efficientnet_b0,160,0.8333333333333334,0.825,0.008333333333333415
efficientnet_b0,192,0.8583333333333333,0.8583333333333333,0.0
efficientnet_b0,224,0.825,0.8166666666666667,0.008333333333333304
efficientnet_b0,256,0.8916666666666667,0.825,0.06666666666666676
efficientnet_b0,299,0.9083333333333333,0.8916666666666667,0.016666666666666607
inception_v3,80,0.7166666666666667,0.7416666666666667,-0.025000000000000022
inception_v3,96,0.7416666666666667,0.75,-0.008333333333333304
inception_v3,112,0.7,0.775,-0.07500000000000007
inception_v3,128,0.6916666666666667,0.7333333333333333,-0.04166666666666663
inception_v3,160,0.825,0.7916666666666666,0.033333333333333326
inception_v3,192,0.8083333333333333,0.825,-0.016666666666666607
inception_v3,224,0.9083333333333333,0.825,0.08333333333333337
inception_v3,256,0.8333333333333334,0.85,-0.016666666666666607
inception_v3,299,0.875,0.8666666666666667,0.008333333333333304
mobilenet_v2,32,0.21666666666666667,0.6833333333333333,-0.4666666666666667
mobilenet_v2,40,0.5666666666666667,0.725,-0.15833333333333333
mobilenet_v2,48,0.5666666666666667,0.6666666666666666,-0.09999999999999998
mobilenet_v2,56,0.6916666666666667,0.7333333333333333,-0.04166666666666663
mobilenet_v2,64,0.65,0.725,-0.07499999999999996
mobilenet_v2,80,0.675,0.7833333333333333,-0.10833333333333328
mobilenet_v2,96,0.725,0.7833333333333333,-0.05833333333333335
mobilenet_v2,112,0.6666666666666666,0.7666666666666667,-0.10000000000000009
mobilenet_v2,128,0.7083333333333334,0.8083333333333333,-0.09999999999999998
mobilenet_v2,160,0.8,0.8416666666666667,-0.04166666666666663
mobilenet_v2,192,0.7583333333333333,0.8583333333333333,-0.09999999999999998
mobilenet_v2,224,0.7416666666666667,0.8583333333333333,-0.11666666666666659
mobilenet_v2,256,0.8,0.8416666666666667,-0.04166666666666663
mobilenet_v2,299,0.7416666666666667,0.825,-0.08333333333333326
resnet50,32,0.7916666666666666,0.7,0.09166666666666667
resnet50,40,0.75,0.7666666666666667,-0.01666666666666672
resnet50,48,0.7916666666666666,0.8083333333333333,-0.01666666666666672
resnet50,56,0.8333333333333334,0.8,0.033333333333333326
resnet50,64,0.8,0.7916666666666666,0.008333333333333415
resnet50,80,0.7833333333333333,0.8083333333333333,-0.025000000000000022
resnet50,96,0.7916666666666666,0.825,-0.033333333333333326
resnet50,112,0.825,0.8333333333333334,-0.008333333333333415
resnet50,128,0.8333333333333334,0.825,0.008333333333333415
resnet50,160,0.8166666666666667,0.825,-0.008333333333333304
resnet50,192,0.8666666666666667,0.875,-0.008333333333333304
resnet50,224,0.775,0.85,-0.07499999999999996
resnet50,256,0.875,0.8666666666666667,0.008333333333333304
resnet50,299,0.8583333333333333,0.8666666666666667,-0.008333333333333415
