condition,img_size,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_test,inference_ms_per_image,params,run_dir,ckpt_ft,acc_z,lat_z,par_z,mobile_score
aug_light,112,mobilenet_v2,0.6666666666666666,0.6646245059288538,0.6666666666666666,0.6472786185964481,0.6646245059288538,0.6666666666666666,0.6472786185964481,120.0,13.078690000111237,2265670.0,v2_outputs\aug_light\px112\mobilenet_v2,v2_outputs\aug_light\px112\mobilenet_v2\ckpt_ft.keras,0.01254264344249292,-0.06621616210134118,,
aug_light,128,mobilenet_v2,0.7083333333333334,0.7375226625226624,0.7083333333333334,0.7105492331138191,0.7375226625226626,0.7083333333333334,0.7105492331138191,120.0,10.101897500377769,2265670.0,v2_outputs\aug_light\px128\mobilenet_v2,v2_outputs\aug_light\px128\mobilenet_v2\ckpt_ft.keras,0.30520432376732926,-0.8682415511400126,,
aug_light,160,mobilenet_v2,0.8,0.8311187916026626,0.7999999999999999,0.7989289414952973,0.8311187916026626,0.8,0.7989289414952974,120.0,10.818650833486268,2265670.0,v2_outputs\aug_light\px160\mobilenet_v2,v2_outputs\aug_light\px160\mobilenet_v2\ckpt_ft.keras,0.9490600204819681,-0.6751295452200234,,
aug_light,192,mobilenet_v2,0.7583333333333333,0.8080017205017206,0.7583333333333333,0.7519568243476155,0.8080017205017204,0.7583333333333333,0.7519568243476157,120.0,12.625609167541066,2265670.0,v2_outputs\aug_light\px192\mobilenet_v2,v2_outputs\aug_light\px192\mobilenet_v2\ckpt_ft.keras,0.6563983401571318,-0.18828793265323301,,
aug_light,224,mobilenet_v2,0.7416666666666667,0.7954278933407789,0.7416666666666667,0.7502091310145809,0.795427893340779,0.7416666666666667,0.7502091310145808,120.0,14.497850001013527,2265670.0,v2_outputs\aug_light\px224\mobilenet_v2,v2_outputs\aug_light\px224\mobilenet_v2\ckpt_ft.keras,0.5393336680271978,0.3161424846413158,,
aug_light,256,mobilenet_v2,0.8,0.8287280701754387,0.7999999999999999,0.8002585649644475,0.8287280701754386,0.8,0.8002585649644474,120.0,17.225539998617023,2265670.0,v2_outputs\aug_light\px256\mobilenet_v2,v2_outputs\aug_light\px256\mobilenet_v2\ckpt_ft.keras,0.9490600204819681,1.051053175158278,,
aug_light,299,mobilenet_v2,0.7416666666666667,0.7822337305095926,0.7416666666666667,0.7456055941939203,0.7822337305095926,0.7416666666666667,0.7456055941939204,120.0,22.080009166772168,2265670.0,v2_outputs\aug_light\px299\mobilenet_v2,v2_outputs\aug_light\px299\mobilenet_v2\ckpt_ft.keras,0.5393336680271978,2.35897353692836,,
aug_light,32,mobilenet_v2,0.21666666666666667,0.19238351254480288,0.21666666666666667,0.14080910240202274,0.19238351254480288,0.21666666666666667,0.14080910240202277,120.0,9.146682500916844,2265670.0,v2_outputs\aug_light\px32\mobilenet_v2,v2_outputs\aug_light\px32\mobilenet_v2\ckpt_ft.keras,-3.1482035040657337,-1.1256013374290526,,
aug_light,40,mobilenet_v2,0.5666666666666667,0.6016191325014854,0.5666666666666668,0.5430824613433308,0.6016191325014854,0.5666666666666667,0.5430824613433309,120.0,8.481424998414392,2265670.0,v2_outputs\aug_light\px40\mobilenet_v2,v2_outputs\aug_light\px40\mobilenet_v2\ckpt_ft.keras,-0.6898453893371129,-1.3048390260832656,,
aug_light,48,mobilenet_v2,0.5666666666666667,0.6174463937621832,0.5666666666666667,0.5480157289776165,0.6174463937621832,0.5666666666666667,0.5480157289776165,120.0,8.407102500010902,2265670.0,v2_outputs\aug_light\px48\mobilenet_v2,v2_outputs\aug_light\px48\mobilenet_v2\ckpt_ft.keras,-0.6898453893371129,-1.3248634418602208,,
aug_light,56,mobilenet_v2,0.6916666666666667,0.7110484544695072,0.6916666666666665,0.6772879897879897,0.7110484544695072,0.6916666666666667,0.6772879897879899,120.0,16.317134998583544,2265670.0,v2_outputs\aug_light\px56\mobilenet_v2,v2_outputs\aug_light\px56\mobilenet_v2\ckpt_ft.keras,0.18813965163739457,0.8063052212374862,,
aug_light,64,mobilenet_v2,0.65,0.7054830917874396,0.65,0.6195559554571183,0.7054830917874396,0.65,0.6195559554571183,120.0,13.046261668205261,2265670.0,v2_outputs\aug_light\px64\mobilenet_v2,v2_outputs\aug_light\px64\mobilenet_v2\ckpt_ft.keras,-0.104522028687441,-0.07495319886661594,,
aug_light,80,mobilenet_v2,0.675,0.7010732179697697,0.6749999999999999,0.6572651208383763,0.7010732179697696,0.675,0.6572651208383763,120.0,15.401638332211101,2265670.0,v2_outputs\aug_light\px80\mobilenet_v2,v2_outputs\aug_light\px80\mobilenet_v2\ckpt_ft.keras,0.07107497950746065,0.5596465878000841,,
aug_light,96,mobilenet_v2,0.725,0.7726783020900667,0.725,0.7341363102232666,0.7726783020900668,0.725,0.7341363102232668,120.0,15.313913333617771,2265670.0,v2_outputs\aug_light\px96\mobilenet_v2,v2_outputs\aug_light\px96\mobilenet_v2\ckpt_ft.keras,0.4222689958972632,0.5360111895882396,,
