aug,img_size,mean_test_acc,std_test_acc,n_models
aug_light,32,0.5791666666666666,0.2507858020672592,4
aug_light,40,0.675,0.07728015412913086,4
aug_light,48,0.7083333333333333,0.09789450103725608,4
aug_light,56,0.7458333333333333,0.06180165405913055,4
aug_light,64,0.7333333333333334,0.067700320038633,4
aug_light,80,0.755,0.05670341945401333,5
aug_light,96,0.7783333333333333,0.04624812308503867,5
aug_light,112,0.755,0.06785400995274095,5
aug_light,128,0.77,0.06603870918719651,5
aug_light,160,0.82,0.012638125740085885,5
aug_light,192,0.8316666666666667,0.04765326151831934,5
aug_light,224,0.82,0.06497862896539305,5
aug_light,256,0.8466666666666667,0.036609804394147995,5
aug_light,299,0.85,0.0634647758821992,5
noaug,32,0.6895833333333333,0.03145764348029477,4
noaug,40,0.7458333333333333,0.0173472166622178,4
noaug,48,0.7333333333333333,0.05813458204571212,4
noaug,56,0.75625,0.031457643480294784,4
noaug,64,0.7541666666666667,0.02763853991962832,4
noaug,80,0.7766666666666666,0.02969754946867576,5
noaug,96,0.7866666666666666,0.03754626775356268,5
noaug,112,0.8,0.03173238794109963,5
noaug,128,0.7983333333333333,0.03791437722025776,5
noaug,160,0.8266666666666665,0.022360679774997894,5
noaug,192,0.85,0.02041241452319314,5
noaug,224,0.8400000000000001,0.01806623615723233,5
noaug,256,0.8366666666666667,0.025413251136628193,5
noaug,299,0.8699999999999999,0.029226129861250345,5
